"scenario,n,algo,comparisons,swaps,nanos,isSorted"
"ordered,100,quicksort_randomPivot,643,102,100800,true"
"reversed,100,quicksort_randomPivot,662,246,278300,true"
"random,100,quicksort_randomPivot,572,339,86200,true"
"nearlySorted,100,quicksort_randomPivot,634,133,95400,true"
"ordered,500,quicksort_randomPivot,4901,486,732300,true"
"reversed,500,quicksort_randomPivot,4576,2102,560400,true"
"random,500,quicksort_randomPivot,4969,2429,451500,true"
"nearlySorted,500,quicksort_randomPivot,5367,1015,383900,true"
"ordered,1000,quicksort_randomPivot,10781,1018,316300,true"
"reversed,1000,quicksort_randomPivot,10915,4724,280800,true"
"random,1000,quicksort_randomPivot,11126,5284,210300,true"
"nearlySorted,1000,quicksort_randomPivot,11488,1864,140900,true"
"ordered,2000,quicksort_randomPivot,28627,1988,279700,true"
"reversed,2000,quicksort_randomPivot,25719,13028,417800,true"
"random,2000,quicksort_randomPivot,25407,11919,343100,true"
"nearlySorted,2000,quicksort_randomPivot,24110,6262,392100,true"
"ordered,5000,quicksort_randomPivot,69293,5046,938000,true"
"reversed,5000,quicksort_randomPivot,69607,29048,2156200,true"
"random,5000,quicksort_randomPivot,70673,34714,651600,true"
"nearlySorted,5000,quicksort_randomPivot,68682,21428,382000,true"
